name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Musée de la pêche				Concarneau							
Le Port-Musée				Douarnenez							
Musée de l'Océanographie				Ergué-Gabéric							
Musée des Beaux-Arts de Pont-Aven				Pont-Aven							
Musée Paul Gauguin				Pont-Aven							
Musée départemental breton				Quimper							
Musée de l'alambic				Quimper							
Musée des Beaux-Arts de Quimper				Quimper							
Musée de la Paysannerie				Baguer-Morvan							
Musée des Transmissions				Cesson-Sévigné							
Cathédraloscope				Dol-de-Bretagne							
Manoir de l'automobile				Lohéac							
Ecomusée du pays de Montfort				Montfort-sur-Meu							
Musée des Beaux-Arts				Rennes							
Musée de Bretagne				Rennes							
Ecomusée de la Bintinais				Rennes							
Musée Saint-Nicolas				Vitré							
Château de Vitré				Vitré							
Musée des Rochers-Sévigné				Vitré							
Musée du Manoir de la Faucillonnaie				Montreuil-sous-Pérouse							
Musée des Passions et des Ailes				Baden							
Musée de la Préshitoire				Carnac							
Musée des Thoniers				Étel							
Musée de Poupées				Josselin							
Musée du Faouet				Le Faouët							
Végétarium Yves Rocher				La Gacilly							
Musée de la Vilaine maritime				La Roche-Bernard							
Musée de la compagnie des Indes				Lorient							
Musée du vélo				Plouay							
Musée de la Marine				Port-Louis							
Musée de la Résistance bretonne				Saint-Marcel							
Musée de la Cohue				Vannes							
Musée Estève				Bourges							
Palais Jacques Coeur				Bourges							
Musée de Menetou-Salon				Menetou-Salon							
Centre International du Vitrail				Chartres							
Musée des Beaux Arts de Chartres				Chartres							
Musée Marcel Proust				Illiers-Combray							
Conservatoire de l'agriculture (Compa)				Mainvilliers							
Château-musée				Azay-le-Ferron							
Musée Bertrand				Châteauroux							
Musée de l'Hospice Saint-Roch				Issoudun							
Musée de l'automobile de Valençay				Valençay							
cirque				Vatan							
Musée de l'Hôtel de Ville				Amboise							
Musée de La Poste				Amboise							
Château d'Azay-le-Rideau				Azay-le-Rideau							
Musée Maurice Dufresne				Azay-le-Rideau							
Musée des Beaux-Arts de Tours				Tours							
Musée du Compagnonnage				Tours							
Château de Saché				Tours							
Musée du poids lourd				Pontlevoy							
Musée de la course automobile				Romorantin-Lanthenay							
Château de Blois				Blois							
La Maison de la Magie Robert-Houdin				Blois							
Musée Daniel Vannier				Beaugency							
Musée des deux marines				Briare							
Emaux de Briare				Briare							
Musée de la marine de Loire du Vieux-Châteauneuf et sa région				Châteauneuf-sur-Loire							
Musée de l'Illusion et du Cirque				Dampierre-en-Burly							
Musée International de la Chasse				Gien							
Musée des transports				Pithiviers							
Musée Fesch				Ajaccio							
Musée des Milelli				Ajaccio							
Musée napoléonien				Ajaccio							
Musée national de la maison Bonaparte				Ajaccio							
Musée d'archéologie et d'ethnographie				Levie							
Musée départemental de préhistoire				Sartène							
Musée archéologique				Aléria							
Departmental Museum of archaeology Gilort (Jérôme) Carcopino				Aléria							
Musée d'ethnographie corse				Bastia							
Musée régional d'anthropologie				Corte							
Musée Pascal-Paoli				Morosaglia							
Paul Gauguin Cultural Center											
Paul Gauguin Museum (Tahiti)											
Musée de Tahiti et des Îles											
Robert Wan Pearl Museum											
Maison de la dernière cartouche				Bazeilles							
Musée-Atelier Textile du Feutre				Mouzon							
Musée Guerre et Paix en Ardennes				Novion-Porcien							
Musée d'Art Moderne Donation Pierre et Denise Lévy				Troyes							
Maison de l'Outil				Troyes							
Centre historique de l'automobile				Reims							
Palais du Tau				Reims							
Musée Municipal d'Archéologie et de Peinture				Bourbonne-les-Bains							
Maison du Livre et de l'affiche				Chaumont							
Musée d'art et d'histoire				Chaumont							
Musée de la Crèche				Chaumont							
Musée d'art et d'histoire				Langres							
Musée de la cristallerie				Baccarat							
Musée de l'histoire du fer				Jarville-la-Malgrange							
Musée du château				Lunéville							
Muséum-Aquarium de Nancy				Nancy							
Musée Lorrain				Nancy							
Musée de l'École de Nancy				Nancy							
Musée des Beaux-Arts				Nancy							
Musée français de la brasserie				Saint-Nicolas-de-Port							
Musée du cinéma et de la photographie				Saint-Nicolas-de-Port							
Musée d'Art et d'Histoire				Toul							
Musée de l'automobile de Lorraine				Velaine-en-Haye							
Musée Barrois				Bar-le-Duc							
Musée européen de la bière				Stenay							
Centre mondial de la paix				Verdun							
Musée de la Princerie				Verdun							
Musée de la moto et du vélo				Amnéville-les-Thermes							
Musée des mines de fer de Lorraine				Aumetz							
Musée de la Citadelle de Bitche				Bitche							
Musée départemental du sel				Marsal							
Maison du verre et du cristal				Meisenthal							
Museums of Metz				Metz							
Centre Pompidou-Metz				Metz							
Musée du Bassin Houiller Carreau Wendel				Petite-Rosselle							
Musée de la Faïencerie				Sarreguemines							
Musée de la Tour aux Puces				Thionville							
Carreau Wendel Museum				Thionville							
Musée Georges de La Tour				Vic-sur-Seille							
Maison du Val de Villé				Albé							
Musée de la Folie Marco				Barr							
Musée de la poterie				Betschdorf							
Musée rituel juif				Bischheim							
Maison des Arts				Bischwiller							
Musée de la Laub				Bischwiller							
Musée du centenaire				Bischwiller							
Musée du Pays de Hanau				Bouxwiller							
Musée judéo-alsacien de Bouxwiller				Bouxwiller							
Musée archéologique				Brumath							
Musée Gustave-Stoskopf				Brumath							
Musée de l'hôpital psychiatrique				Brumath							
Musée d'apiculture				Colroy-la-Roche							
Musée de la casemate Ligne Maginot				Dambach-Neunhoffen							
Musée de Dehlingen, villa et jardin gallo-romains du Gurtelbach				Dehlingen							
Musée des arts et traditions populaires de Dossenheim-sur-Zinzel				Dossenheim-sur-Zinsel							
Refuge fortifié de Dossenheim-sur-Zinsel				Dossenheim-sur-Zinsel							
Musée de la fortification Maginot				Drachenbronn-Birlenbach							
Musée Würth				Erstein							
Etappenstall Maison du patrimoine				Erstein							
Musée des traditions des arts populaires et de l'archéologie				Eschau							
Musée "Les secrets du chocolat"				Geispolsheim							
Musée du pain d'épices et de l'Art Populaire Alsacien				Gertwiller							
Musée viti-vinicole				Gertwiller							
Musée de la mine de fer de Framont				Grandfontaine							
Musée du Framont				Grandfontaine							
Maison des Rochers de Graufthal				Graufthal							
Musée alsacien (Haguenau)				Haguenau							
Musée historique de Haguenau				Haguenau							
Musée de la casemate Esch Ligne Maginot				Hatten							
Musée de l'Abri Hatten Ligne Maginot				Hatten							
Musée du pays de la Zorn				Hochfelden							
Fort de Schoenenbourg				Hunspach							
Maison de la manufacture d'armes blanches				Klingenthal							
Maison rurale de l'Outre-Forêt				Kutzenhausen							
Musée des Arts et Traditions populaires de La Petite-Pierre				La Petite-Pierre							
Musée du sceau alsacien de La Petite-Pierre				La Petite-Pierre							
P'tit Fleck				Lembach							
Ouvrage du Four à chaux Ligne Maginot				Lembach							
Abri du Heidenbuckel				Leutenheim							
Château de Lichtenberg				Lichtenberg							
Mémorial-Musée de la Ligne Maginot du Rhin				Marckolsheim							
Centre européen de l'Orgue Flûtes du Monde				Marmoutier							
Musée d'arts et traditions populaires				Marmoutier							
Musée français du pétrole				Merkwiller-Pechelbronn							
Musée de la Chartreuse et Fondation Bugatti				Molsheim							
Fort de Mutzig				Mutzig							
Musée municipal				Mutzig							
Musée des arts et traditions populaires de Neuviller				Neuviller-la-Roche							
Maison de l'archéologie des Vosges du Nord				Niederbronn-les-Bains							
Maison des châteaux-forts d'Obersteinbach				Obersteinbach							
Musée de la batellerie Péniche Cabro				Offendorf							
Maison d'Offwiller				Offwiller							
Château du Haut-Kœnigsbourg				Orschwiller							
Musée de l'image populaire				Pfaffenhoffen							
Musée de la scierie à Haut-Fer				Ranrupt							
Musée du fer, musée historique et industriel				Reichshoffen							
