table_number,table_name,level,region,destino_turistico,ref_date,value
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Arica y Parinacota,Arica,2016-08,35005.799999999996
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Arica y Parinacota,Camarones y Putre,2016-08,1863.0
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Tarapacá,Iquique,2016-08,65998.0
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Tarapacá,Resto región,2016-08,4459.822222222218
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Antofagasta,Antofagasta,2016-08,78026.30000000002
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Antofagasta,Calama,2016-08,29233.9
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Antofagasta,San Pedro de Atacama,2016-08,37128.799999999996
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Antofagasta,Resto región,2016-08,8884.0
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Atacama,Copiapó y Ojos del Salado,2016-08,26222.599999999995
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Atacama,Pan de Azúcar y Bahía Inglesa - Caldera,2016-08,4995.833333333332
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Atacama,Valle del Huasco,2016-08,4934.488888888888
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Coquimbo,La Serena y Coquimbo,2016-08,65592.66666666672
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Coquimbo,Valle del Elqui,2016-08,7383.5
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Coquimbo,Resto región,2016-08,12108.83333333333
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Valparaíso,"Valparaíso, Viña del Mar y Concón",2016-08,129414.84126984118
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Valparaíso,Litoral de Los Poetas,2016-08,19246.228070175377
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Valparaíso,Litoral Norte,2016-08,9465.692307692312
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Valparaíso,Resto región,2016-08,54461.14935064934
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Metropolitana de Santiago,Santiago urbano,2016-08,611204.0000000001
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Metropolitana de Santiago,Resto región,2016-08,45103.833333333314
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Libertador Gral. Bernardo O’Higgins,Pichilemu y Paredones,2016-08,14358.59523809524
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Libertador Gral. Bernardo O’Higgins,Valle de Colchagua,2016-08,9090.1
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Libertador Gral. Bernardo O’Higgins,Rancagua y alrededores,2016-08,11669.944444444445
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Libertador Gral. Bernardo O’Higgins,"San Vicente, Rapel y Navidad",2016-08,3049.3333333333303
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Maule,Costa Maule,2016-08,7956.230769230765
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Maule,Talca y Valle del Río Maule,2016-08,9603.25
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Maule,Resto región,2016-08,27941.800000000003
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Ñuble,Chillán y Ñuble,2016-08,51000.57037037034
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Ñuble,Quillón y alrededores,2016-08,3287.4615384615336
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Biobío,Concepción y alrededores,2016-08,40683.60526315789
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Biobío,Saltos del Laja,2016-08,12204.833333333334
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Biobío,Resto región,2016-08,10043.727272727278
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,La Araucanía,Araucanía Lacustre,2016-08,39039.11111111111
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,La Araucanía,Temuco y alrededores,2016-08,28148.499999999996
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,La Araucanía,Araucanía Andina,2016-08,16551.0
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,La Araucanía,Resto región,2016-08,4988.0
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Los Ríos,Cuenca del Lago Ranco,2016-08,1593.2142857142874
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Los Ríos,Siete Lagos,2016-08,5172.428571428577
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Los Ríos,Valdivia y Corral,2016-08,35179.839285714275
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Los Lagos,Chiloé,2016-08,19846.07843137251
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Los Lagos,Lago Llanquihue y Todos los Santos,2016-08,56003.600000000006
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Los Lagos,Puerto Montt y alrededores,2016-08,36194.8
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Los Lagos,Resto región,2016-08,34216.69
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Aysén del Gral. Carlos Ibáñez del Campo,Aysén y Coyhaique,2016-08,17286.959821428572
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Aysén del Gral. Carlos Ibáñez del Campo,Carretera Austral Norte,2016-08,6245.0
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Aysén del Gral. Carlos Ibáñez del Campo,Carretera Austral Sur,2016-08,2217.681818181815
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Magallanes y la Antártica Chilena,Punta Arenas y Estrecho de Magallanes,2016-08,34731.2
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Magallanes y la Antártica Chilena,Torres del Paine y Puerto Natales,2016-08,10247.13636363637
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",destino,Magallanes y la Antártica Chilena,Resto región,2016-08,4041.285714285715
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",national,,,2016-08,1803325.2657421648
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",region,Arica y Parinacota,,2016-08,36868.799999999996
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",region,Tarapacá,,2016-08,70457.82222222221
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",region,Antofagasta,,2016-08,153272.99999999994
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",region,Atacama,,2016-08,36152.92222222222
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",region,Coquimbo,,2016-08,85085.00000000003
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",region,Valparaíso,,2016-08,212587.91099835827
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",region,Metropolitana de Santiago,,2016-08,656307.8333333334
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",region,Libertador Gral. Bernardo O’Higgins,,2016-08,38167.97301587302
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",region,Maule,,2016-08,45501.280769230776
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",region,Ñuble,,2016-08,54288.03190883188
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",region,Biobío,,2016-08,62932.16586921847
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",region,La Araucanía,,2016-08,88726.61111111114
1,"Número de pernoctaciones de pasajeros en establecimientos de alojamiento turístico, según región y destino turístico, por mes y año.",region,Los Ríos,,2016-08,41945.48214285714
