lat,lon
54.787028,-8.535000
53.513750,-10.084972
57.549583,-5.520056
55.855778,-5.440833
54.962889,-3.276750
52.405778,-4.094194
51.043333,-4.237500
49.714583,0.205778
48.809528,-3.548361
47.637861,-3.035889
45.278278,-0.700389
43.443750,-3.956750
43.351639,-8.348806
41.683694,-8.827556
43.452889,4.381639
41.702028,12.339944
41.080417,17.055806
45.132472,13.722722
43.544583,16.434111
41.629944,19.609556
38.792917,20.847500
36.960000,21.937917
38.873333,22.545361
44.674139,28.934528
46.726639,31.498750
46.119583,33.517444
44.541250,34.298333
46.526250,35.193278
46.808750,36.902500
39.797444,26.153722
38.374972,26.480389
37.337917,27.248333
37.089611,27.475806
36.942056,28.099972
37.003722,27.798361
37.565389,27.207444
38.440389,27.169972
40.326194,27.631611
40.770361,29.552500
41.835389,32.685806
41.334556,36.850000
40.973750,40.329944
45.377889,36.821611
46.224583,38.324139
45.256694,35.420361
53.732083,-2.855028
57.855361,-5.643389
58.663333,-3.405917
55.461639,-1.587528
50.988722,1.963306
52.133333,4.312500
53.386222,5.916611
53.559167,8.552472
39.897083,121.631667
39.763361,124.754583
38.312444,124.877861
37.847806,126.285806
42.982806,131.469111
54.258306,142.337500
52.720806,141.814167
56.626639,138.249167
59.323750,143.440028
59.245833,148.722417
59.509972,151.504139
59.169278,153.796389
59.668722,154.251611
56.463278,155.890750
52.302500,156.419194
55.755806,161.899139
58.592917,162.221639
59.025833,163.047556
58.764167,162.560889
57.766611,163.255806
59.267861,160.126611
47.858750,-122.580889
46.714167,-123.848778
46.973750,-123.945917
44.849972,-124.049639
40.785028,-124.218056
37.517500,-122.203750
33.384250,-117.599389
27.900639,-114.133833
26.428611,-112.824500
29.754139,-112.601611
26.308389,-109.141056
24.781750,-107.967944
45.774833,-64.280333
50.212083,-61.058389
59.475972,-65.524583
59.229139,-77.935722
59.526222,5.451611
58.851667,6.147417
58.835861,11.177472
57.685417,11.771667
59.363722,18.353333
58.270361,24.171583
55.224111,20.914194
54.501222,16.474944
56.274139,10.465750
56.584139,8.284139
55.105806,-7.527528
54.177500,-9.992500
57.837917,-4.100028
56.704139,-5.250833
55.525806,-4.652556
53.295389,-3.638361
51.773306,-2.387528
50.826639,-0.865861
48.635000,-2.035444
47.727917,-3.376694
