Airline ID,Departure,Destination,distance_km,distance_mi
3H,YTQ,YPJ,72.8,45.3
3H,YTQ,YVP,109.5,68.0
3H,YUD,YGW,159.6,99.2
3H,YUD,YPH,234.5,145.7
3H,YUD,YSK,167.3,103.9
3H,YUL,YGL,950.4,590.5
3H,YUL,YGW,1127.2,700.4
3H,YUL,YQB,233.0,144.8
3H,YUL,YUY,492.5,306.0
3H,YUY,YGW,790.2,491.0
3H,YUY,YUL,492.5,306.0
3H,YVP,XGR,157.4,97.8
3H,YVP,YGW,649.7,403.7
3H,YVP,YKG,232.8,144.6
3H,YVP,YKL,379.2,235.6
3H,YVP,YPH,565.2,351.2
3H,YVP,YPJ,149.7,93.0
3H,YVP,YPX,550.4,342.0
3H,YVP,YTQ,109.5,68.0
3H,YWB,YQC,137.3,85.3
3H,YWB,YZG,206.6,128.3
3H,YWK,YKL,209.5,130.2
3H,YWK,YZV,302.9,188.2
3H,YZG,YIK,119.7,74.4
3H,YZG,YWB,206.6,128.3
3H,YZV,YKL,510.8,317.4
3H,YZV,YWK,302.9,188.2
3J,JIB,DXB,1992.4,1238.0
3J,JIB,JED,1204.4,748.4
3J,JIB,MGQ,1086.1,674.9
3J,MGQ,NBO,1002.4,622.9
3J,NBO,MGQ,1002.4,622.9
3K,BKK,SIN,1416.9,880.4
3K,DRW,SIN,3339.1,2074.8
3K,HAK,SIN,2182.8,1356.4
3K,HGH,SIN,3650.0,2268.0
3K,HKG,SIN,2565.6,1594.2
3K,HKT,SIN,980.2,609.1
3K,KIX,MNL,2634.8,1637.2
3K,KIX,TPE,1702.9,1058.2
3K,KUL,SIN,297.5,184.8
3K,MNL,KIX,2634.8,1637.2
3K,MNL,SIN,2374.9,1475.7
3K,PEN,SIN,602.3,374.3
3K,PER,SIN,3910.8,2430.0
3K,PNH,SIN,1137.7,706.9
3K,REP,SIN,1341.2,833.4
3K,RGN,SIN,1931.9,1200.4
3K,SGN,SIN,1093.0,679.2
3K,SIN,BKK,1416.9,880.4
3K,SIN,DRW,3339.1,2074.8
3K,SIN,HAK,2182.8,1356.4
3K,SIN,HGH,3650.0,2268.0
3K,SIN,HKG,2565.6,1594.2
3K,SIN,HKT,980.2,609.1
3K,SIN,KUL,297.5,184.8
3K,SIN,MNL,2374.9,1475.7
3K,SIN,PEN,602.3,374.3
3K,SIN,PER,3910.8,2430.0
3K,SIN,PNH,1137.7,706.9
3K,SIN,REP,1341.2,833.4
3K,SIN,RGN,1931.9,1200.4
3K,SIN,SGN,1093.0,679.2
3K,SIN,SWA,2812.9,1747.9
3K,SIN,TPE,3222.4,2002.3
3K,SWA,SIN,2812.9,1747.9
3K,TPE,KIX,1702.9,1058.2
3K,TPE,SIN,3222.4,2002.3
3L,ACH,EBA,528.0,328.1
3L,DRS,ZRH,556.1,345.5
3L,DUS,FDH,448.5,278.7
3L,EBA,ACH,528.0,328.1
3L,EBA,FDH,549.0,341.2
3L,EBA,MUC,633.5,393.6
3L,EBA,ZRH,539.6,335.3
3L,FDH,DUS,448.5,278.7
3L,FDH,EBA,549.0,341.2
3L,FDH,HAM,663.5,412.3
3L,FDH,OLB,753.1,467.9
3L,FDH,TXL,606.4,376.8
3L,FDH,ZAD,600.5,373.1
3L,FMM,NAP,852.5,529.7
3L,GRZ,ZRH,522.8,324.8
3L,HAM,FDH,663.5,412.3
3L,MUC,EBA,633.5,393.6
3L,NAP,FMM,852.5,529.7
3L,OLB,FDH,753.1,467.9
3L,SZG,ZRH,335.8,208.7
3L,TXL,FDH,606.4,376.8
3L,ZAD,FDH,600.5,373.1
3L,ZRH,DRS,556.1,345.5
3L,ZRH,EBA,539.6,335.3
3L,ZRH,GRZ,522.8,324.8
3L,ZRH,SZG,335.8,208.7
3M,ATL,LWB,593.6,368.8
3M,ATL,MCN,127.6,79.3
3M,ATL,MEI,428.5,266.3
3M,ATL,MSL,317.6,197.3
3M,ATL,PIB,519.4,322.8
3M,ATL,TUP,406.5,252.6
3M,BIM,FLL,98.0,60.9
3M,ELH,FLL,353.7,219.8
3M,ELH,PBI,366.3,227.6
3M,EYW,FLL,233.5,145.1
3M,EYW,RSW,220.2,136.8
3M,EYW,TPA,388.0,241.1
3M,FLL,BIM,98.0,60.9
3M,FLL,ELH,353.7,219.8
3M,FLL,EYW,233.5,145.1
3M,FLL,FPO,155.0,96.3
3M,FLL,GGT,513.8,319.2
3M,FLL,GHB,392.9,244.1
3M,FLL,MCO,285.9,177.7
3M,FLL,MHH,309.8,192.5
3M,FLL,TCB,285.0,177.1
3M,FLL,TPA,316.8,196.9
3M,FPO,FLL,155.0,96.3
3M,GGT,FLL,513.8,319.2
3M,GGT,GHB,196.9,122.4
3M,GHB,FLL,392.9,244.1
3M,GLH,TUP,222.4,138.2
3M,GNV,MCO,168.5,104.7
3M,GNV,TPA,192.3,119.5
3M,JAX,MHH,631.2,392.2
3M,JAX,TPA,291.8,181.3
3M,LWB,ATL,593.6,368.8
3M,MCN,ATL,127.6,79.3
3M,MCN,MCO,524.3,325.8
3M,MCO,FLL,285.9,177.7
