name,lat,lon,country_code,feature_code
Mooball Beach,-28.431800,153.551190,AU,BCH
Mona Vale Beach,-33.676640,151.315900,AU,BCH
Middle Beach,-31.550000,159.100000,AU,BCH
Mentmore Beach,-20.772880,148.798310,AU,BCH
Mcmasters Beach,-33.481800,151.434600,AU,BCH
Marion Beach,-42.800000,147.860000,AU,BCH
Manns Beach,-38.650000,146.783330,AU,BCH
Manly Beach,-33.798500,151.284610,AU,BCH
Maitland Beach,-38.891250,145.983200,AU,BCH
Long Reef Beach,-33.744180,151.307980,AU,BCH
Long Beach,-33.623500,151.317900,AU,BCH
Lobster Beach,-33.526800,151.340100,AU,BCH
Little Mackerel Beach,-33.598500,151.301190,AU,BCH
Little Beach,-33.515200,151.417890,AU,BCH
Lighthouse Beach,-31.531800,152.867910,AU,BCH
Lighthouse Beach,-28.881800,153.584600,AU,BCH
Lamberts Beach,-21.074270,149.228580,AU,BCH
Kirra Beach,-28.167010,153.532180,AU,BCH
Kings Beach,-28.698500,153.617910,AU,BCH
Kings Beach,-19.998390,148.264660,AU,BCH
Jibbon Beach,-34.081800,151.167890,AU,BCH
Hungry Beach,-33.548500,151.276200,AU,BCH
Hams Beach,-33.104100,151.656800,AU,BCH
Halletts Beach,-33.600000,151.233330,AU,BCH
Great Mackarel Beach,-33.590200,151.301190,AU,BCH
Friendly Beaches,-42.020610,148.281270,AU,BCH
Flynns Beach,-31.448500,152.934600,AU,BCH
Five Mile Beach,-38.954030,146.447360,AU,BCH
Fishermans Beach,-33.736590,151.306070,AU,BCH
Far Beach,-21.183330,149.200000,AU,BCH
Dutchies Beach,-32.715200,152.134600,AU,BCH
Dickey Beach,-26.783330,153.133330,AU,BCH
Dewars Beach,-20.785660,148.834690,AU,BCH
Denhams Beach,-35.754100,150.217900,AU,BCH
Cudmirrah Beach,-35.198500,150.584600,AU,BCH
Cudgera Beach,-28.381800,153.567900,AU,BCH
Crabbes Creek Beach,-28.481800,153.551190,AU,BCH
Covering Beach,-20.589550,148.666350,AU,BCH
Clifton Beach,-42.986820,147.533700,AU,BCH
Chinamans Long Beach,-38.839240,146.420200,AU,BCH
Chinamans Beach,-38.800000,146.433330,AU,BCH
Cave Beach,-35.165200,150.667890,AU,BCH
Bulcock Beach,-26.807020,153.131880,AU,BCH
Bramston Beach,-17.352350,146.023870,AU,BCH
Boomerang Beach,-32.340200,152.534610,AU,BCH
Bongin Bongin Beach,-33.682070,151.311950,AU,BCH
Bondi Beach,-33.891690,151.277620,AU,BCH
Blueys Beach,-32.352700,152.537900,AU,BCH
Bilgola Beach,-33.645850,151.328090,AU,BCH
Bherwherre Beach,-35.166670,150.633330,AU,BCH
Avoca Beach,-33.465200,151.434600,AU,BCH
Garie Beach,-34.168320,151.069990,AU,BCH
Nudists Beach,-41.070000,146.720000,AU,BCH
Gibsons Beach,-41.100000,146.810000,AU,BCH
Bellbuoy Beach,-41.030000,146.840000,AU,BCH
Hordern Beach,-34.082190,151.146790,AU,BCH
Cronulla Beach,-34.037300,151.172260,AU,BCH
Kurnell Beach,-34.006670,151.215500,AU,BCH
Maroubra Beach,-33.948680,151.257230,AU,BCH
Lady Robinsons Beach,-33.965410,151.155400,AU,BCH
Bellerive Beach,-42.870000,147.369990,AU,BCH
Nutgrove Beach,-42.900000,147.340000,AU,BCH
Corrimal Beach,-34.381800,150.917890,AU,BCH
Towradgi Beach,-34.398500,150.909610,AU,BCH
Dudley Beach,-32.965200,151.717900,AU,BCH
Long Beach,-42.910000,147.350010,AU,BCH
Mission Beach,-17.939020,146.094420,AU,BCH
Pallon Beach,-17.941750,146.142630,AU,BCH
Oombunchi Beach,-16.966670,145.916670,AU,BCH
King Beach,-16.915960,145.935270,AU,BCH
Newell Beach,-16.422250,145.407440,AU,BCH
Pebbly Beach,-16.582910,145.512770,AU,BCH
Ellis Beach,-16.734170,145.660340,AU,BCH
Palm Cove Beach,-16.750690,145.671280,AU,BCH
Bulburra Beach,-16.866670,145.916670,AU,BCH
Evans Head Beach,-29.081800,153.434600,AU,BCH
Blue Lake Beach,-27.497570,153.511340,AU,BCH
Sovereign Beach,-27.281670,153.418900,AU,BCH
Toompani Beach,-27.248330,153.417220,AU,BCH
Gonzales Beach,-27.231670,153.417220,AU,BCH
Jason Beach,-27.181660,153.423070,AU,BCH
Eager Beach,-27.131670,153.434170,AU,BCH
Warrajamba Beach,-27.096670,153.444170,AU,BCH
Spitfire Beach,-27.066110,153.453890,AU,BCH
Braydon Beach,-27.046110,153.460830,AU,BCH
Godwin Beach,-27.087290,153.110240,AU,BCH
Whalebone Beach,-15.760970,145.369160,AU,BCH
Machans Beach,-16.850970,145.749990,AU,BCH
Congora Beach,-10.836840,142.543350,AU,BCH
Kilbie Beach,-10.829610,142.551670,AU,BCH
Saldogoo Beach,-10.808500,142.563060,AU,BCH
Nanthau Beach,-10.776000,142.587220,AU,BCH
Narau Beach,-10.789060,142.580280,AU,BCH
Safety Beach,-38.321530,144.983200,AU,BCH
Back Beach,-38.337500,144.707780,AU,BCH
Cabblers Beach,-33.826110,151.262500,AU,BCH
Nine Mile Beach,-42.090000,148.149990,AU,BCH
Shelly Beach,-42.560000,147.890000,AU,BCH
Spring Beach,-42.570000,147.899990,AU,BCH
Fossil Beach,-38.242090,145.027630,AU,BCH
Deewhy Beach,-33.750000,151.300000,AU,BCH
