NAME,DISCIPLINE,DISCIPLINE_LABEL,CITY,STATE,LAT,LNG
TISHOMINGO COUNTY HISTORICAL & GENEALOGICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,34.81017,-88.20267
TISKILWA HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,41.2743,-89.51104
TITAN MISSLE MUSEUM,GMU,General Museum,,,31.89947,-110.99873
TITANIC EXPERIENCE,GMU,General Museum,,,28.455,-81.4709
TITTABAWASSEE TOWNSHIP HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,43.51606,-84.12655
TITUS COUNTY HISTORICAL PRESERVATION SOCIETY,HST,History Museum,,,33.15578,-94.97045
TITUSVILLE HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,41.6221,-79.69816
TIZER BOTANIC GARDENS & ARBORETUM,BOT,"Arboretum, Botanical Garden, or Nature Center",,,46.43596,-112.00125
TJ WALKER HISTORICAL MUSEUM,HSC,Historical Society or Historic Preservation,,,46.53668,-97.93606
TJC WISE AUDITORIUM ART GALLERY,ART,Art Museum,,,32.33056,-95.3156
TOAD HALL CLASSIC CAR MUSEUM,GMU,General Museum,,,41.63964,-70.30327
TOAD HOLLOW DAYLILY FARM,GMU,General Museum,,,38.40516,-96.08691
TOBACCO CITY MUSEUM,GMU,General Museum,,,42.83357,-89.06959
TOBACCO FARM LIFE MUSEUM OF VIRGINIA,GMU,General Museum,,,36.72629,-78.13169
TOBACCO VALLEY BOARD OF HISTORY,HST,History Museum,,,48.8843,-115.01703
TODD COUNTY HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,45.97403,-94.85943
TODD MADIGAN GALLERY,ART,Art Museum,,,35.34861,-119.10334
TODDS INHERITANCE HISTORIC SITE,HSC,Historical Society or Historic Preservation,,,39.24118,-76.44663
TOFTHAGEN LIBRARY AND MUSEUM,GMU,General Museum,,,48.03229,-98.34145
TOHONO CHUL PARK,BOT,"Arboretum, Botanical Garden, or Nature Center",,,32.33921,-110.98275
TOLEDO BOTANICAL GARDEN,BOT,"Arboretum, Botanical Garden, or Nature Center",,,41.66919,-83.66896
TOLEDO FIREFIGHTERS MUSEUM,GMU,General Museum,,,41.69277,-83.56359
TOLEDO HARBOR LIGHTHOUSE,HSC,Historical Society or Historic Preservation,,,41.62793,-83.40289
TOLEDO HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,46.44532,-122.81753
TOLEDO HISTORY CENTER,GMU,General Museum,,,44.62719,-123.93557
TOLEDO MUSEUM OF ART,ART,Art Museum,,,41.65876,-83.55823
TOLEDO POLICE MUSEUM,GMU,General Museum,,,41.67385,-83.61045
TOLEDO SCIENCE CENTER,SCI,Science & Technology Museum or Planetarium,,,41.65409,-83.53301
TOLEDO ZOO,ZAW,"Zoo, Aquarium, or Wildlife Conservation",,,41.60394,-83.63572
TOLLAND JAIL MUSEUM,GMU,General Museum,,,41.87382,-72.37011
TOLLGATE HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,45.67038,-118.78466
TOLSONS CHAPEL,HSC,Historical Society or Historic Preservation,,,39.45247,-77.75679
TOM & O.E. STIGALL ETHNIC LIBRARY HISTORY & MUSEUM,GMU,General Museum,,,35.82877,-88.89097
TOM CLARK MUSEUM,GMU,General Museum,,,35.49944,-80.84873
TOM GREEN COUNTY HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,31.45355,-100.42477
TOM MIX MUSEUM,GMU,General Museum,,,36.80513,-95.93234
TOM ROGERS MUSEUM,GMU,General Museum,,,36.31786,-121.25803
TOMAH AREA HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,44.00185,-90.50486
TOMAHAWK HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,45.47296,-89.72803
TOMALES REGIONAL HISTORY CENTER,HST,History Museum,,,38.24731,-122.90862
TOMAQUAG INDIAN MEMORIAL MUSEUM,GMU,General Museum,,,41.55748,-71.70264
TOMASULO ART GALLERY,ART,Art Museum,,,39.73832,-84.18105
TOMBALL MUSEUM CENTER,GMU,General Museum,,,30.09932,-95.61979
TOMBSTONE COURTHOUSE STATE HISTORIC PARK,HSC,Historical Society or Historic Preservation,,,31.69404,-110.04318
TOMBSTONE WESTERN HERITAGE MUSEUM,GMU,General Museum,,,31.69404,-110.04318
TOME PARISH MUSEUM,GMU,General Museum,,,34.74618,-106.72666
TOMOKA STATE PARK MUSEUM,GMU,General Museum,,,29.33923,-81.08303
TOMORROW RIVER VALLEY HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,44.4239,-89.31001
TOMORROWS AERONAUTICAL MUSEUM,HST,History Museum,,,33.88969,-118.24571
TOMPKINS CENTER HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,42.36361,-84.46272
TOMPKINS PROJECTS,GMU,General Museum,,,40.69521,-73.946
TON-UP,HSC,Historical Society or Historic Preservation,,,42.24586,-83.61089
TONEY SCHOOL COMMUNITY MUSEUM,HST,History Museum,,,34.89494,-86.77529
TONGANOXIE COMMUNITY HISTORICAL,HSC,Historical Society or Historic Preservation,,,39.11715,-95.08126
TONGASS HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,55.34242,-131.64029
TONI & STUART B. YOUNG GALLERY,ART,Art Museum,,,39.73025,-75.55623
TONKAWA TRIBAL MUSEUM,GMU,General Museum,,,36.65755,-97.28929
TONOPAH TIDEWATER HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,36.12564,-115.91877
TONSET LUTHERAN CHURCH HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,48.84756,-102.57178
TONTO NATIONAL MONUMENT,HSC,Historical Society or Historic Preservation,,,33.61548,-111.00047
TONY AND NINA GENTILE GALLERY,ART,Art Museum,,,40.37411,-80.62167
TONY HUNGERFORD MEMORIAL ART GALLERY,ART,Art Museum,,,38.56556,-77.00422
TOOELE COUNTY HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,40.55373,-112.29712
TOONSEUM,ART,Art Museum,,,41.77318,-78.01432
TOP KICK'S MILITARY MUSEUM,GMU,General Museum,,,38.99224,-79.12639
TOP OF OKLAHOMA HISTORICAL SOCIETY MUSEUM,HSC,Historical Society or Historic Preservation,,,36.8013,-97.28307
TOP OF THE COMMON COMMITTEE,HSC,Historical Society or Historic Preservation,,,44.4593,-71.71084
TOPA-TOPA FLYWHEELERS,SCI,Science & Technology Museum or Planetarium,,,34.22229,-119.04259
TOPEKA HIGH SCHOOL HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,39.04974,-95.68553
TOPEKA ZOOLOGICAL PARK,ZAW,"Zoo, Aquarium, or Wildlife Conservation",,,39.05564,-95.72951
TOPPENISH HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,46.38036,-120.30583
TOPPENISH MUSEUM,GMU,General Museum,,,46.37734,-120.31531
TORPEDO FACTORY ART CENTER,ART,Art Museum,,,38.80587,-77.03983
TORRANCE COUNTY ARCHAEOLOGICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,34.81224,-106.17861
TORRANCE HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,33.83586,-118.31688
TORRINGTON AREA MODEL RAILROADERS,GMU,General Museum,,,41.78447,-72.94122
TORRINGTON HISTORIC PRESERVATION TRUST,HSC,Historical Society or Historic Preservation,,,41.8144,-73.11518
TORRINGTON HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,41.80348,-73.1213
TORRINGTON MAIN ST PARTNERS,HSC,Historical Society or Historic Preservation,,,41.91438,-104.20093
TORTURE MUSEUM,GMU,General Museum,,,43.62714,-89.77665
TOTEM HERITAGE CENTER,GMU,General Museum,,,55.34301,-131.63255
TOTOKET HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,41.39342,-72.78485
TOTOPOTOMOY CREEK BATTLEFIELD AT RURAL PLAINS,HSC,Historical Society or Historic Preservation,,,37.65105,-77.36429
TOUCH N TECH CHILDREN'S MUSEUM,CMU,Children's Museum,,,40.57617,-74.6468
TOUCHSTONE TECHNOLOGIES,HSC,Historical Society or Historic Preservation,,,48.84873,-100.425
TOUCHSTONE WESLEY,GMU,General Museum,,,32.53699,-93.66201
TOUCHSTONE WILDLIFE AND ART,ZAW,"Zoo, Aquarium, or Wildlife Conservation",,,32.55579,-93.59399
TOUCHɠGALLERY,ART,Art Museum,,,47.49622,-94.86998
TOUR-ED MINE AND MUSEUM,GMU,General Museum,,,40.61672,-79.76137
TOUSSAINT LOUVERTURE HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,39.04826,-76.99661
TOWANDA AREA HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,37.79496,-97.01374
TOWER GROVE PARK,HSC,Historical Society or Historic Preservation,,,38.60851,-90.25609
TOWER HILL BOTANIC GARDEN,BOT,"Arboretum, Botanical Garden, or Nature Center",,,42.35665,-71.72991
TOWN & COUNTRY FINE ART GALLERY,ART,Art Museum,,,39.68946,-84.16767
TOWN AND COUNTRY HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,38.63191,-90.46581
TOWN HALL ASSOCIATION,HSC,Historical Society or Historic Preservation,,,47.60872,-122.32931
TOWNE ART GALLERY,ART,Art Museum,,,42.34179,-71.10602
TOWNER COUNTY HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,48.67012,-98.83857
TOWNER MULTI-CULTURAL MUSEUM,GMU,General Museum,,,36.14488,-86.79752
TOWNS COUNTRY HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,34.97348,-83.76952
TOWNSEND HERITAGE COUNCIL,HST,History Museum,,,35.67088,-83.80632
TOWNSHIP OF EAST CHINA RED BRICK MUSEUM,GMU,General Museum,,,42.75374,-82.48979
TOWNSHIP OF GRAFTON HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,43.58431,-71.9534
TOWNSHIP OF HAMILTON HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,39.46346,-74.71728
TOWNSHIP OF MANTUA FIRE & EMS MUSEUM,GMU,General Museum,,,39.78812,-75.17837
TOWNSHIP OF MILTON HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,43.42802,-71.00022
TOWSON COMMONS ART GALLERY,ART,Art Museum,,,39.39048,-76.60532
TOWSON UNIVERSITY PLANETARIUM,SCI,Science & Technology Museum or Planetarium,,,39.39048,-76.60532
TOY AND MINIATURE MUSEUM,GMU,General Museum,,,39.03168,-94.58275
TOY FARMER MUSEUM,GMU,General Museum,,,46.32646,-98.20202
TOY MAKER S HOUSE MUSEUM,GMU,General Museum,,,35.21105,-82.23968
TOY MUSEUM,GMU,General Museum,,,40.92695,-75.32105
TOY MUSEUM OF NEW YORK,GMU,General Museum,,,40.69619,-73.98994
TOY SOLDIER AND MODEL MUSEUM,CMU,Children's Museum,,,42.32703,-77.66167
TOY TOWN MUSEUM,GMU,General Museum,,,42.77061,-78.60484
TOY TRAIN DEPOT,GMU,General Museum,,,32.91309,-105.96069
TOY TRAIN MUSEUM,GMU,General Museum,,,29.976,-90.24599
TOYOTA USA AUTOMOBILE MUSEUM,GMU,General Museum,,,33.84965,-118.31766
TRACKS AND TRAILS MUSEUM,GMU,General Museum,,,40.2757,-106.96
TRACKS OF HERITAGE ACROSS WYOMING,HSC,Historical Society or Historic Preservation,,,41.26925,-110.96789
TRACY WILLIAMS,GMU,General Museum,,,40.74828,-74.00487
TRADING FORD HISTORIC DISTRICT,HST,History Museum,,,35.69031,-80.48784
TRADING PATH PRESERVATION ASSOCIATION,HSC,Historical Society or Historic Preservation,,,36.07714,-79.09903
TRADING POST MUSEUM,HSC,Historical Society or Historic Preservation,,,38.36556,-95.30531
TRADITIONAL COWBOY ARTS ASSOCIATION,GMU,General Museum,,,45.15527,-113.89546
TRAER HISTORICAL MUSEUM,HSC,Historical Society or Historic Preservation,,,42.19347,-92.46609
TRAFFIC ZONE CENTER FOR VISUAL ARTS,GMU,General Museum,,,44.98404,-93.27378
TRAHERN GALLERY,ART,Art Museum,,,36.53179,-87.35207
TRAIL END STATE HISTORIC SITE,HSC,Historical Society or Historic Preservation,,,44.80174,-106.96586
TRAIL OF HONOR,HST,History Museum,,,32.25139,-90.21333
TRAILBLAZER OF BROWARD COUNTY,HSC,Historical Society or Historic Preservation,,,26.14866,-80.17856
TRAILS AND RAILS MUSEUM,GMU,General Museum,,,40.68501,-99.09182
TRAILS END-SEDALIA,HSC,Historical Society or Historic Preservation,,,38.63211,-93.18027
TRAILS TO TUCKERMAN HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,35.71505,-91.21164
TRAILSIDE MUSEUM,GMU,General Museum,,,42.68254,-103.40327
TRAILSIDE MUSEUM,GMU,General Museum,,,40.81652,-96.71525
TRAILSIDE MUSEUM,GMU,General Museum,,,40.68267,-74.37132
TRAILSIDE MUSEUM,GMU,General Museum,,,39.80505,-83.90145
TRAILSIDE MUSEUM CHARITABLE TRUST,GMU,General Museum,,,42.21799,-71.11943
TRAIN COLLECTOR'S ASSOCIATION,GMU,General Museum,,,40.40135,-79.91802
TRAIN DEPOT MUSEUM,GMU,General Museum,,,28.54948,-82.3871
TRAIN MOUNTAIN MEMBERS ASSOCIATION,HSC,Historical Society or Historic Preservation,,,42.55602,-121.88373
TRAIN MUSEUM,GMU,General Museum,,,40.51429,-74.83113
TRAINING FIELD,HSC,Historical Society or Historic Preservation,,,42.35479,-71.06267
TRAINS AT BANDANA,GMU,General Museum,,,44.97107,-93.15256
TRANS MISSISSIPPI EXPOSITION HISTORICAL ASSOCIATION,HSC,Historical Society or Historic Preservation,,,41.26218,-95.93133
TRANS-ALLEGHENY LUNATIC ASYLUM,GMU,General Museum,,,39.03085,-80.46791
TRANSITION GALLERY,ART,Art Museum,,,42.86222,-112.43335
TRANSITION ZONE HORTICULTURAL INSTITUTE,BOT,"Arboretum, Botanical Garden, or Nature Center",,,35.15751,-111.73454
TRANSPORTATION AND TECHNOLOGY MUSEUM,GMU,General Museum,,,40.57619,-80.04888
TRANSPORTATION MUSEUM,GMU,General Museum,,,35.40708,-99.42082
TRANSPORTATION MUSEUM,GMU,General Museum,,,47.81778,-122.27805
TRANSYLVANIA COUNTY HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,35.20888,-82.72422
TRANSYLVANIA MUSEUM,GMU,General Museum,,,38.05323,-84.49378
TRAPSHOOTING HALL OF FAME,GMU,General Museum,,,39.89011,-84.20848
TRAVELING CHILDREN'S HERITAGE MUSEUM,HSC,Historical Society or Historic Preservation,,,44.09414,-123.6627
TRAVELING CHILDREN'S MUSEUM,CMU,Children's Museum,,,39.75637,-84.18544
TRAVELING SPACE MUSEUM,GMU,General Museum,,,34.00111,-118.35706
TRAVELING WILDERNESS EXPERIENCE,ART,Art Museum,,,40.93947,-72.6376
TRAVELLERS REST HISTORIC HOUSE MUSEUM,HSC,Historical Society or Historic Preservation,,,36.07413,-86.7673
TRAVERSE CITY CON FOSTER MUSEUM,GMU,General Museum,,,44.76176,-85.62679
TRAVERSE COUNTY HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,45.80549,-96.50498
TRAYSER MUSEUM DIRECTORS,GMU,General Museum,,,41.70007,-70.29739
TREADWELL HISTORIC PRESERVATION & RESTORATION SOCIETY,HSC,Historical Society or Historic Preservation,,,58.27846,-134.3996
TREASURE VALLEY ANTIQUE POWER ASSOCIATION,HSC,Historical Society or Historic Preservation,,,43.56792,-116.57442
TREASURES OF THE SEA EXHIBIT,GMU,General Museum,,,38.68943,-75.41496
TREASURING THE WORD MINISTRIES INTERNATIONAL,HST,History Museum,,,35.84075,-83.57069
TREASURY HISTORICAL ASSOCIATION,HSC,Historical Society or Historic Preservation,,,38.89974,-77.03126
TREDTFFRIN HISTORIC PRESERVATION TRUST,HSC,Historical Society or Historic Preservation,,,40.04525,-75.42245
TREDYFFRIN EASTTOWN HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,40.04464,-75.44187
TREE HILL,BOT,"Arboretum, Botanical Garden, or Nature Center",,,30.33327,-81.58255
TREES OF MYSTERY,GMU,General Museum,,,41.61938,-124.1092
TREGANZA ANTHROPOLOGY MUSEUM,NAT,Natural History or Natural Science Museum,,,37.72093,-122.4766
TREGO CO HISTORICAL SOCIETY MUSEUM FAIRGROUNDS,HSC,Historical Society or Historic Preservation,,,39.02196,-99.88378
TREMONT AREA HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,40.63113,-76.38697
TREMONT MUSEUM AND HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,40.51351,-89.48171
TREMONT NAIL FACTORY CULTURAL AND RECREATION CENTER,HSC,Historical Society or Historic Preservation,,,41.76929,-70.73642
TREMPEALEAU COUNTY HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,44.08987,-91.29618
TRENTON DOWNTOWN ALLIANCE,HSC,Historical Society or Historic Preservation,,,34.89272,-85.52668
TRENTON HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,44.44721,-68.36964
TRENTON HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,42.13577,-83.2174
TRENTON HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,40.21936,-74.76094
TRENTON MUSEUM SOCIETY,HSC,Historical Society or Historic Preservation,,,40.21936,-74.76094
TRESCOTT HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,44.75896,-67.25702
TREVILIAN STATION BATTLEFIELD,HSC,Historical Society or Historic Preservation,,,38.05374,-78.07247
TREX MUSEUM AND GIFTS,GMU,General Museum,,,32.27804,-110.97824
TREXLER GAME PRESERVE,ZAW,"Zoo, Aquarium, or Wildlife Conservation",,,40.60337,-75.47164
TRI RIVER PIONEERS,HST,History Museum,,,47.92081,-96.04221
TRI-CITIES HISTORICAL MUSEUM,HSC,Historical Society or Historic Preservation,,,43.06357,-86.23
TRI-CITY MODEL RAILROAD ASSOCIATION,HST,History Museum,,,40.90236,-98.35666
TRI-COUNTY GENEALOGICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,37.83933,-94.35806
