"REF_DATE","GEO","DGUID","Airports","Domestic and international itinerant movements","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Saskatchewan","2016A000247","Total, NAV CANADA towers and flight service stations","Other international movements","Number","223","units","0","v1376030811","1047.100002.3","110","","","","0"
"2022-01","Saskatchewan","2016A000247","Total, non-NAV CANADA airports","Domestic movements","Number","223","units","0","v1376030812","1047.100003.1","614","","","","0"
"2022-01","Saskatchewan","2016A000247","Total, non-NAV CANADA airports","Transborder movements","Number","223","units","0","v1376030813","1047.100003.2","1","","","","0"
"2022-01","Saskatchewan","2016A000247","Total, non-NAV CANADA airports","Other international movements","Number","223","units","0","v1376030814","1047.100003.3","","..","","","0"
"2022-01","Alberta","2016A000248","Total, all airports","Domestic movements","Number","223","units","0","v1376030815","1048.100001.1","26951","","","","0"
"2022-01","Alberta","2016A000248","Total, all airports","Transborder movements","Number","223","units","0","v1376030816","1048.100001.2","2201","","","","0"
"2022-01","Alberta","2016A000248","Total, all airports","Other international movements","Number","223","units","0","v1376030817","1048.100001.3","880","","","","0"
"2022-01","Alberta","2016A000248","Total, NAV CANADA towers and flight service stations","Domestic movements","Number","223","units","0","v1376030818","1048.100002.1","26951","","","","0"
"2022-01","Alberta","2016A000248","Total, NAV CANADA towers and flight service stations","Transborder movements","Number","223","units","0","v1376030819","1048.100002.2","2201","","","","0"
"2022-01","Alberta","2016A000248","Total, NAV CANADA towers and flight service stations","Other international movements","Number","223","units","0","v1376030820","1048.100002.3","880","","","","0"
"2022-01","Alberta","2016A000248","Total, non-NAV CANADA airports","Domestic movements","Number","223","units","0","v1376030821","1048.100003.1","","..","","","0"
"2022-01","Alberta","2016A000248","Total, non-NAV CANADA airports","Transborder movements","Number","223","units","0","v1376030822","1048.100003.2","","..","","","0"
"2022-01","Alberta","2016A000248","Total, non-NAV CANADA airports","Other international movements","Number","223","units","0","v1376030823","1048.100003.3","","..","","","0"
"2022-01","British Columbia","2016A000259","Total, all airports","Domestic movements","Number","223","units","0","v1376030824","1059.100001.1","38885","","","","0"
